Dimension,Verbatims
Productos,Porque tienen muchas promociones en varios lugares buen monto en la tarjeta.
Tiempos de espera,Muchas colas mucha gente hay que esperar
Tiempos de espera,Mucha cola mucha gente
Calidad de atencion ,No ha tenido inconvenientes siempre funciono bien
Disp. automaticos,No ha tenido problemas pudo realizar todas las operaciones no le salto ning˙n error
Canales y servicios,Es clara la pagina web
Productos,Nunca me han fallado yo saco muchas cosas con la tarjeta en  cuotas. Te dan sin intereses algunas cuotas
Productos,Las cuotas que te dan me dan para sacar las cosas en cuotas.
Canales y servicios,La pagina web la han modificado y no cumple con los requisitos como cuando entras a pago mi cuenta se las llevaron de la pagina. No es una pagina agil hay cosas que incluso por telefono no se pueden hacer
Canales y servicios,Las veces que llame me resolvieron el problema.
Canales y servicios,Llamando al call center con la preguntad o necesidad de saber de alg˙n producto te dan una solucion sin ir al banco
Canales y servicios,Porque cuando llame para informarme y me despejaron todas las dudas por ejemplo tengo dos cuentas de ahorro y confundua las clave y terminaba bloqueando las tarjetas y siempre me solucionaron bien.
Canales y servicios,Siempre he encontrado respuestas inmediatas me han resuelto cosas rapidas y puntuales
Tiempos de espera,La rapidez en atencion en las cajas principalmente
Calidad de atencion ,No tengo motivos nunca tuve problemas
Canales y servicios,Es clara se entiende bien las opciones el home banking
Canales y servicios,Simplificar algunas cosas que sea mas sencillo en algunos pasos al hacer las operaciones
Tiempos de espera,Un poco mas de atencion que se mas rapida
Canales y servicios,Mas rapidez para atender
Productos,Porque se puede mejorar cosas la nota es para que mejore promociones o que sea mas facil para acceder a los creditos ..
Canales y servicios,Tener mejor internet la parte de internet es mala necesitan poner mayor tecnologua en  algunos casos es mala. Yo transfiero sueldo la parte del software es viejo
Canales y servicios,Que atiendan mas rapido a veces el tiempo de espera es mas de 10 minutos  los numero parta comunicarte cuando te comunicas tenes que saber donde vas a ir porque osino das mucha vueltas agilizar los men˙s
Canales y servicios,Tienen buena atencion de la persona que me atiende me resuelven el problema no hay mucha espera hasta ser atendida
Canales y servicios,A veces no toma datos telefonicos por ejemplo cambio de domicilio
Disp. automaticos,Se puede hacer todas las operaciones es sencillo el uso
Canales y servicios,Te atienden rapido  no mas de un minuto y medio te dan solucion rapida
Canales y servicios,Es clara y es sencilla es facil de entender de manejar de encontrar las cosas
Productos,Porque siempre que lo he necesitado en tarjetas de credito me sirvio es mas me lo recomendaron
Productos,Yo la utilizo y no he tenido ning˙n inconveniente y siempre me ha sido ˙til esta bien para recomendarlo porque cubre las expectativas que tiene
Disp. automaticos,Cuando necesite dinero hubo y cuando necesite hacer un tramite por el cajero nunca tuve problemas
Canales y servicios,Cuando necesitas algo te lo solucionan y tienen muy buena atencion
Canales y servicios,Porque me dan soluciones rapidas en minutos 5 minutos apropiadamente
Canales y servicios,La pagina es sencilla accesible y no es complicada es facil de usar para la gente con poco conocimiento del banco e internet
Calidad de atencion ,Porque nunca tuve problemas de ninguna clase
Disp. automaticos,En realidad a mu me cobra mi hija y muy raras veces voy yo pero hasta el momento no tuve problemas
Disp. automaticos,Yo uso todo el tiempo no tuve  problemas con ninguna tarjeta de debito
Calidad de atencion ,Tengo plena confianza en la atencion al cliente
TCR,En muchas ocasiones veo la franqueza en las personas que atiende
Productos,Me facilitan el uso de la tarjeta de credito es mas accesible para que pueda usar la tarjeta
Canales y servicios,La atencion del telefono para hacer una clave todavua no la conseguua
Productos,Tengo una tarjeta del banco por medio de un trabajo trabaje con la tarjeta de credito esta todo bien sin problemas si bien siempre pago en termino todo lo que es cuota no cobran tantos intereses
Calidad de atencion ,Porque nunca tuve problemas. Trabajaba afuera en Venezuela mi plata me llegaba hasta alla. La atencion es buena amable
TCR,Debe mejorar la informacion cuando tenes con alguna tarjeta de credito o debito y cuando se extravuan
Canales y servicios,Te ayudo muchusimo es facil lo podes utilizar bien teniendolo en el telefono y la computadora
Canales y servicios,Siempre que consulto con home banking me sacan todas las dudas
Productos,He podido sacar lo que he podido comprar no he tenido trabas con la tarjeta
Canales y servicios,Porque es muy simple el uso no es complicado
Canales y servicios,No es buena la atencion telefonica no dan una solucion rapida cara las convicciones por  las tarjetas las cuentas corrientes
Canales y servicios,Entro perfectamente nunca tuve problemas es accesible la pagina
Canales y servicios,Cuando llame me solucionaron el problema que tenua en el momento lo resolvieron
Canales y servicios,Porque ofrecen informacion cuando te llaman y te atienden bien  .
TCR,Porque tiene buena informacion y ayuda bastante con informacion
Canales y servicios,A veces cuando llamas te hacen esperar mucho que te atiendan enseguida por que tardan en atenderte cuando uno llama por el celular te gastan tu credito
Calidad de atencion ,Trato el servicio que tienen el trato es excelente nunca tuve problemas
Canales y servicios,Bastante bien me solucionaron mi inconveniente rapido en 5 minutos ya lo solucionaron
Canales y servicios,La numeracion te cuesta mucho encontrar hablar con la persona tenes que marcar veinticinco numeritos hasta hablar con una persona tendrua que ser mas claro hablar con un representante
Productos,Soy extranjero tengo un DNI temporarios eso influye en la polutica del banco y siento que eso no deberua influir  si quisiera una tarjeta con limite alto no lo puedo tener hasta no tener un DNI permanente me dan solo un n˙mero y no me aprueban mas
Productos,Las comisiones de las tarjetas comisiones en general
Canales y servicios,Ahora el banco esta en transicion del home banking y no me gusta la nueva actualizacion me gustaba mas la vieja.  No es clara la nueva actualizacion la anterior tenua las pestaÒas en forma horizontal y tenuas utems y ponuas un tramite y operaciones y ahora esta todo mezclado y no tenes ninguna o
Calidad de atencion ,Antes me depositaban ahu y nunca tuve problemas
Disp. automaticos,Nunca tuve problemas con el cajero para sacar plata
Canales y servicios,La atencion telefonica por que tardan mucho en responderte no te contesta espere como diez minutos que me tenuan ahu me decua la contestadora que tenua que esperar.
Disp. automaticos,Porque el cajero que mas uso y que mas me deja sacar efectivo me deja sacar mas monto.
Canales y servicios,Que te atiendan mas rapido  lo ˙nico que me paso a mi es que no te atienden
Canales y servicios,La atencion fue rapida del personal que me atendio  y precisa para lo que necesita que lo resolviera vua telefonica
Canales y servicios,Responden a la necesidad y situacion que uno quiere resolver
Calidad de atencion ,Por la atencion de los empleados que tienen y como me tratan cuando  tengo dudas
Canales y servicios,Como tratan a la personan que hablan
Calidad de atencion ,Hace no mucho que estoy en el banco no tengo quejas son de 10 puntos con usted estoy conforme con las veces que fui muy bien me atendieron
Canales y servicios,La comodidad de no tener que hacer fila podes operar desde el celular o la computadora
Tiempos de espera,La parte de la caja siempre es mas lenta que el servicio al cliente  se demora 1 hora  2 horas dependiendo a la hora pico
Disp. automaticos,Porque cada vez que voy hay plata pongo para pagar mis cuentas.
Disp. automaticos,Ando bien con el cajero automatico
Calidad de atencion ,Me atienden bien
Disp. automaticos,Siempre tiene efectivo  siempre se puede utilizar
Productos,Tiene descuentos en muchos lados
Productos,Las tasas de interes que cobra por decirlo de una manera es un banco caro
Disp. automaticos,Por lo menos las mayoruas de las veces tienen efectivo y nunca tuve problemas
Productos,Tiene que ser mas facil sacar los montos mejorar en las comisiones y gastos
Calidad de atencion ,Ya llevo tiempo con el banco.. Por  la atencion son muy atentos del personal
Disp. automaticos,No tuve problemas a la hora de retirar dinero siempre fue bien  funciona todo bien en general
Canales y servicios,No tengo ning˙n problema puedo utilizar la pagina  la totalidad de la pagina esta bien realizo transacciones
Disp. automaticos,Cada vez que voy puedo sacar hasta 8 mil que es lo que me interesa es el banco que mas dinero te da.
Canales y servicios,Las claves para ingresar a la pagina sin ir al cajero  para obtenerla
Canales y servicios,Responden las preguntas que uno le hace el tiempo de espera es de un minuto .  Las llamadas son rapidas faciles las llamadas
Disp. automaticos,Por seguridad en todo al estar solo y que no esten mas personas mirando
Disp. automaticos,En lo que es el uso del cajero automatico  aparte para depositos estas privado no hay otra gente
Productos,Por las buenas promociones que hacen. Por las tasas buenas promociones
Disp. automaticos,No tengo problemas con el cajero muchas veces hay cajeros que no hay plata pero el Galicia siempre tiene plata podes hacer las operaciones que necesitas
Calidad de atencion ,Tiene buena atencion al cliente son muy respetuosos atienden bien a los viejitos a las embarazadas a los jubilados
Productos,Porque tiene muchos beneficios. Propaganda de la tarjeta
Canales y servicios,Porque es claro de encontrar hay cosas que si no usaste nunca el home banking lo podes usar facilmente es practico
Productos,Tener mas planes de cuotas
Disp. automaticos,No tuve inconvenientes con el cajero cuando entras al cajero tenes una clave alfabetica que si no la tenes no podes ingresar
Calidad de atencion ,Me hacen debitos automaticos no tengo que ir al pago facil para pagar sino que dejo en el cajero y ya me habilitan automaticamente
Disp. automaticos,Me gusta es mas facil que ir  a cajas
Canales y servicios,Porque lo uso desde mi movil al poner mi DNI esta mi cuenta
Calidad de atencion ,Todas las veces que he hizo a operar he tenido una buena respuesta del banco
Calidad de atencion ,Por la atencion
Calidad de atencion ,La experiencia ha sido perfecta
Disp. automaticos,Porque son muy simples rapidas y modernas las operaciones las haces muy rapido
Disp. automaticos,Es seguro confiable porque siempre hay seguridad y siempre hay dinero
Productos,Que mejores los prestamos que me den mas presupuestos con la tarjeta
Canales y servicios,A veces llamo no contesta nadie no entra la llamada te atienden
Disp. automaticos,Porque no he tenido problemas nunca
Canales y servicios,Cuando he consultado el home banking de mi telefono he encontrado respuestas
Canales y servicios,Vos llamas y nunca te atienden
Canales y servicios,Es muy clara la pagina del homebanking y facil de utilizar
Calidad de atencion ,Tienen muy buena atencion es personalizada para el cliente y es buena atencion
Productos,El tema de las tarjetas son muy buenas hay muchos descuentos y te aceptan en todos lados
Calidad de atencion ,Me atienden bien las chicas de las cajas
Productos,Promociones de descuentos.
Tiempos de espera,En la caja se tarda la espera nomas que sea menos
Productos,Siempre tiene muchos beneficios con quiero
Calidad de atencion ,La atencion es buena te atienden bien
Tiempos de espera,La rapidez para atender siempre esta mucho tiempo adentro del banco
Procesos,Por el motivo las facturas de lo que uso siempre llegan las facturas exactas  siempre se lo que viene se lo que gasto y siempre llega lo correspondido
Productos,Cumplio todas mis expectativas los interes de la tarjeta son munimos y los prestamos son acorde a lo que yo gano pero lo maneja el cliente
Canales y servicios,Porque siempre te contestan siempre te atienden bien y te solucionan todo
Canales y servicios,Esta bien
Disp. automaticos,Tienen cajeros autoservicio y es mas facil  depositar y pagar tus cuentas no hay mucha gente es mas practico  siempre tiene plata
Disp. automaticos,El cajero perfecto pero cuando quieres depositar en los otros cajeros que pones e efectivo nunca andan bien. Los cajeros automaticos siempre tienen dinero y andan bien no los de depositos
Canales y servicios,Me soluciona un monton de problemas como las colas es rapido anda perfecto. En este momento estoy pagando cuentas a traves del homebanking
Productos,La reciben en todos lados si tenes credito dinero te la reciben en todos lados en general no tienen problemas y en el exterior tampoco
Tiempos de espera,El horario en misiones de atencion al p˙blico eso nomas debe mejorar
Canales y servicios,Porque por el celular es un poco complicada muchas partes no anda bien . Por el celular es mas complicado  ahu en la pagina de la computadora esta mucho mejor solo que hay partes que no se puede entrar y se traba
Tiempos de espera,Porque son varios chicos para atender y asu corre mas rapido la fila
Productos,Porque tienen varios descuentos en algunas empresas tienen cero interes en algunas cosas en electronicas o supermercados
Calidad de atencion ,La atencion al cliente es buena
Disp. automaticos,Es rapido es facil de ingresar
Canales y servicios,Es facil y seguro no pide datos muy difuciles
Disp. automaticos,Porque siempre tiene efectivo y la parte de autoservicio se pueden hacer depositos en efectivos sin sobre.
Canales y servicios,Porque te dan solucion para blanquear claves y todo es mas rapido en tres preguntas ya resuelves
Canales y servicios,Porque no tenes que ir hasta la sucursal para operar plazos fijos u otros tramites
Canales y servicios,Son eficientes vos llamas y te solucionan cualquier problema rapido no te dicen que vayas a la sucursal te lo solucionan por telefono. Tienen plataformas online mas rapido eso es lo que me gusta del banco
Productos,Por el tema punto Galicia no hay muchas cosas para canjear como otros bancos que tienen un monton de cosas y se vencen rapido si no lo usas dentro de 4 meses se te vencen. Tendrua que tener que no se venzan tan rapido los puntos y que tengas mayor variedad de productos para canjear
Disp. automaticos,Porque es rapido para operar agilidad
Canales y servicios,Porque te ayudan mucho  te ahorra tiempo de ir a la sucursal
Productos,Porque es un servicio que prestan recomiendo por  los puntos las promociones
Productos,Otorguen tarjetas a los clientes de muchos aÒos. Que te otorguen prestamos y demas productos a los clientes de muchos aÒos.
Disp. automaticos,Porque salvo que una u otra ocasion siempre hay dinero funcionan bien no se encuentran fueras de servicio en la sucursales siempre funcionan
Canales y servicios,Dar respuestas satisfactorias que si quedan en mandarme un email que me lo manden las veces que llame obtener un no como respuesta.
Tiempos de espera,Que la atencion al p˙blico en la sucursal sea mas rapida que haya mas personal para atender al p˙blico
Canales y servicios,Rapidez en la atencion en resolverte los problemas o cuando preguntes algo que sean mas rapido.
Canales y servicios,Porque con la pagina es mas rapida y no es necesaria que te comuniques por un llamado telefonico porque te puede solucionar los problemas y dar soluciones desde la pagina
Productos,Porque podes sumar puntos para viajar utilizando la tarjeta de credito por las compras que realizas podes sumar puntos
Calidad de atencion ,Porque no tuve problemas la atencion al cliente cuando necesitas algo  vas y te atienden bien es buena la atencion es decir son amables cuando necesitas algo estan disponibles
Productos,Porque no tuve problemas cuando realice una compra salen normales las operaciones te saca del apuro cuando no tenes dinero para cualquier operacion.
Canales y servicios,Porque podes realizar todas las operaciones sin moverte de tu casa como plazo fijos podes comprar dolares si quieres hacer inversion pagar impuestos hacer transferencias a otros bancos
Productos,Porque podes hacer compras en varios lugares se puede utilizar en el exterior  si necesitas expandir el lumite de la tarjeta podes hacerlo
Canales y servicios,La atencion de los empleados la comunicacion no hay problemas ellos se comunican cuando tengo atrasos por ahu no me llegan los mail de los res˙menes entonces ellos se comunican. Vua Whatsapp tiempo de espera es 3 a 4 minutos telefonicamente es de 10 minutos
Canales y servicios,Porque es clara la pagina buscas lo que quieres y obtener lo que quieres es facil de entender. Incluso cuando tuve problemas con la clave me resolvieron el problema
Productos,Por el hecho de que no pierdo el tiempo que  me tengo que ir hasta al banco a reclamar nada no tengo problemas no tengo que reclamar nada
Disp. automaticos,Porque siempre estan funcionando siempre tienen dinero y siempre se puede hacer todo
Canales y servicios,Porque te atienden rapido
Canales y servicios,Porque no se cuelga es rapida
Gestion de consultas,Porque me dieron la respuesta que andaba buscando
Productos,Porque tiene bastante monto disponible y me acepta en todos los comercios
Canales y servicios,Se cuelga o te sale error en la pagina. No entraba o se colgaba
Productos,Que sea  menos mentiroso te van a dar prestamos pero siempre te ponen peros
Disp. automaticos,Porque a veces vas a retirar dinero y no te deja retirar
Canales y servicios,Porque no te da respuestas serias cuando vos entras a la pagina para ver resumen en tu cuenta y la mitad esta ahu lo otro no vos llamas y no contestan
Productos,El tema de los intereses de las cuotas
Tiempos de espera,La atencion al cliente a veces demora mucho
Canales y servicios,Porque podes hacer muchos movimientos
Productos,Por las promociones por los descuentos y son aceptables en todos lados
Disp. automaticos,Por su eficacia nunca tuve problemas
Productos,No tiene aumentos en cuotas tenes muchos duas para comprar en cuotas
Productos,Que mejoren el lumite de la tarjeta porque quiero comprar materiales y no me alcanza el lumite.
Canales y servicios,Se cierra muy rapido yo tengo tarjeta de coordenadas para usar con pago mis cuentas por ahu justo me la olvide tardas y ya te la cerraron por ahu es una precaucion pero otra vez tenes que poner todo de nuevo. Es agil es rapido pero me parece poco tiempo para hacer la operacion en su muy corto p
Productos,Primero porque tengo 2 trabajos y a la vez soy responsable para ocupar ... Es muy practica para todo para viajar y no andar con la plata aca se manejan mucho con eso
Canales y servicios,Me han atendido bien me han solucionado el inconveniente el problema o la consulta
Productos,Los beneficios que otorgan
Canales y servicios,He llamado por saldos y muchas cosas y me han atendido bien y he recibido las respuestas que necesitaba
Calidad de atencion ,La atencion al cliente en cuanto a la amabilidad estuve en una o dos oportunidades me contestaron bastante mal y me parece que estan para atender bien a la gente despues de eso soy cliente hace 11 aÒos la atencion personal el trato que tuve con un empleado personal y le pedu ayuda y me conte
Canales y servicios,Cuando te comunicas se dificulta comunicarse no es facil mas de un celular es complicado llamas y por ejemplo tenes que digitar monton de dugitos pero despues no te atiende nunca y marcas para atenderte con alguien y no te atiende nadie te piden dugitos que no tengo por telefono es imposible q
Canales y servicios,Me parece que tiene demasiados protocolos para comunicarse te pide codigos si uno se quiere sacar una duda porque tantos codigos
Canales y servicios,No tuve problemas con el home banking siempre entro en todos los productos a traves de home te mandan notas y hasta ahora todo bien
Canales y servicios,Estuve dos horas tratando de llamar al banco no me atenduan probe con tres telefonos distinto gaste como 300 pesos en credito y no me lo resolvieron. no me sirvio de nada la banca telefonica
Layout sucursal,Agilidad en el sistema
Disp. automaticos,Es accesible se entiende cuando uno va haciendo las transacciones lo van guiando
Canales y servicios,Es buena atencion al banco cuando me pude comunicar pero cuando me pude comunicar porque te dejan en el telefono y te dicen que esperes y es telefono fijo cuando se termina la carga no puedo comunicarme mas
Productos,Porque te facilitan mucho en el tema de las tarjetas para poder sacarlas no es tanto papeleo es bastante accesible en los prestamos
Disp. automaticos,Porque no me sube el lumite para sacar extracciones cuesta mucho hacerlo
Disp. automaticos,Siempre tiene dinero
Canales y servicios,Porque anda perfecto entro al home banking esta todo no se tilda la pagina
Productos,Porque una tarjeta buena
Disp. automaticos,Es simple en caso de tener problemas llamarua al banco para intentar solucionarlo
Canales y servicios,Por las buenas soluciones que dan
Disp. automaticos,En general no hay problemas con la seguridad suele haber personal del banco
Disp. automaticos,No he tenido inconvenientes las veces que he ido a retirar dinero tienen dinero disponible he ido muchas veces pongo la tarjeta y extraigo dinero sin problemas.
Disp. automaticos,Funciona bien pagar las cuentas y depositar
Canales y servicios,Porque tambien es de facil acceso  las paginas de internet son faciles de utilizar portan pocos datos y se puede usar en cualquier momento y las aplicaciones que tambien tiene el banco frances son muy viables.
Canales y servicios,La informacion que te brinda de las cuentas es la que realmente es al momento de hacer una transferencia o pago te las marca en el momento mejorar el tiempo de espera a ser atendido
Canales y servicios,Te atienden te informan y no te ponen en espera
Canales y servicios,Es rapido te metes y tenes todo al toque si compras alg˙n dolar te refleja el cambio en el acto
Disp. automaticos,Te acelera muchusimos tramites siempre esta disponible siempre hay disponible nunca he tenido problemas
Canales y servicios,La atencion te solucionan los problemas te derivan si no te lo pueden solucionar.
Productos,No tengo recibo de sueldo y me dieron la tarjeta de credito con un lumite aceptable
Canales y servicios,Posiblemente no sea problema del banco sea de nosotros por ahu no tenemos experiencia con la pagina web es mas problema del usuario
Disp. automaticos,Porque fue facil de usar y es intuitivo el manejo y funciono bien
Calidad de atencion ,Yo hace 5 aÒos estoy en comunicacion con el banco no tengo problema en general cuando hago reclamo la atencion es buena en fin casi nunca hago reclamos malos sino que averiguar fechas pagos
Disp. automaticos,No tengo problemas muchos no lo uso siempre estoy con la tarjeta de credito cuando extraigo dinero no me hace problemas
Canales y servicios,Muy buena atencion no tengo quejas la gente es amable te atienden bien
Canales y servicios,No tuve una mala experiencia entro perfectamente a la pagina
Canales y servicios,No tiene todas las opciones reales que uno necesita  la opcion vence la tarjeta no existe entonces no tenes acceso para reclamar eso
Canales y servicios,La chica me atendio bien el tiempo de espera fue de media hora con la m˙sica intento entenderme el problema pero no lo resolvio porque tenua que ir a la sucursal como me atendio la chica fue bien me aclaro mis dudas
Canales y servicios,La buena atencion y te resuelven el problema que tengas en tu cuenta la atencion es buena y agil y te atienden ahu nomas
Productos,Tiene muchas promociones y descuentos sobre la tarjeta de credito y tiene muchos paquetes aereos y promociones
Disp. automaticos,Que cuando voy a sacar plata siempre hay. Nunca me rechazaron. Nunca he tenido problemas
Canales y servicios,Porque en duas que no tenes atenciones ellos te solucionan o haces alg˙n tramite
Procesos,No me llega el resumen nunca hace un aÒo que tengo la tarjeta y no se lo que estoy pagando ni por email
Canales y servicios,Porque homebanking tengo respuesta inmediata y funciona correctamente
Disp. automaticos,El momento de espera la disponibilidad del cajero
Canales y servicios,La espera las expresiones te hacen perder tiempo de mas
Canales y servicios,No esta disponible a veces pero la mayorua ha sido buena
Productos,Mas margen de tarjeta renovacion de tarjeta y llevo 3 aÒos
Layout sucursal,Tendrua que haber mas sucursales porque siempre se nuclean en las zonas comerciales por una cuestion mas de servicios cuanto mas tenga uno mejor
Calidad de atencion ,En algunos momentos mejorar la atencion al cliente en algunas sucursales
Disp. automaticos,Es totalmente sencilla la operatoria
Canales y servicios,Que cada vez que necesito hacer una operacion o consultar un salda jamas tengo problemas para pagar mis cuentas para consultar si esta depositado para todo eso esta perfecto
Calidad de atencion ,Que mejore la atencion al p˙blico.
Tiempos de espera,Mas rapidez en la atencion al cliente en la caja
Tiempos de espera,La caja especuficamente la rapidez
Productos,No he tenido problemas con la tarjeta de credito ha sido muy buena
Productos,Credito por las cuotas sin intereses muy bueno en todos los aspectos cuando uno hace transferencia depositos.
Canales y servicios,Facil de acceder.
Gestion de consultas,Es muy eficiente el banco no agrega nada mas
Canales y servicios,Es muy entendible lo que se busca en la pagina y de rapido acceso
Calidad de atencion ,Excelente atencion de los empleados
Productos,Le da muchos beneficios
Disp. automaticos,Siempre estan bien  no ha tenido problemas con el cajero. Siempre funciona
Canales y servicios,Es facil de utilizar excelente
Productos,Dan muchas posibilidades para pagar
Tiempos de espera,No tardan en atender es rapido
Disp. automaticos,Que funcionen mejor los cajeros
Calidad de atencion ,No tengo quejas lo que le he pedido me lo han dado y l atencion es buena
TCR,Si no sabes utilizar  ellos se acercan y te ayudan .
Disp. automaticos,Lo que pasa tarda mucho el tema cajero mas que atencion a la caja  el otro dua para hacer un deposito estuve 25 minutos depende el horario por ahu vas y no hay nadie
Calidad de atencion ,Por la atencion de la gente es buena toda la parte del banco administrativa funciona buena
Productos,No tengo problemas a las horas de comprar cuando pago
Tiempos de espera,La atencion es rapida no esperas tanto te llaman rapido no esperas tanto personalmente en la caja
Canales y servicios,Es rapida la pagina pongo mis datos para ver mis datos enseguida abre y eso es bueno
Tiempos de espera,Pocos empleados y se tarda en hacer tramites
Productos,Cobra muchos intereses deberua bajarlos
Canales y servicios,Es muy facil de acceder y muy bien explicado
Productos,Menos los intereses que otras tarjetas mas posibilidades de pagar las cuotas en cuotas y a traves de internet. Yo hice una compra el mes que viene puedo hacerlo en menos cuotas
Procesos,La practicidad para realizar determinadas operaciones retiros en efectivo
Productos,Que cuando se solicite un prestamo que cobren menos interes.
Disp. automaticos,Es recomendable porque tiene una doble cable tiene parte del n˙mero de documento
Canales y servicios,Siempre funciona nunca cae de sistema cuando opero hago transferencia  opero todo desde el home banking hago pagos de tarjeta res˙menes compras de dolares
Productos,Porque siempre compro sin problemas tiene descuento en ropas zapatillas tiene cuotas sin interes en electrodomesticos  cuando la utilice fuera del paus funciono perfectamente
Canales y servicios,Te piden una clave para acceder a la persona no a la maquina. Por lo general la tengo que cambiar entre dos a tres veces por mes porque me dicen que esta inhabilitada. Tengo que ir al cajero nuevamente tengo que ir  a sacarla
Canales y servicios,Porque no tuve problemas para hacer transferencia desde la pagina funciona bien la parte operativa nunca dejo de funcionar
Productos,Nunca tuve problemas para utilizarla pude utilizar en pauses limutrofes en ning˙n comercio me rechazaron.
Calidad de atencion ,Por la atencion a mu me atienden muy bien cuando voy
Calidad de atencion ,Por la atencion que tiene he ido y me han atendido muy bien en los box de las chicas despues me pasan a la caja y me atienden bien
Canales y servicios,Por su atencion es excelente del personal telefonico   solucionan los problemas
Productos,Reciben la tarjeta cualquier lugar y los tipo de compras cuotas sin interes y descuentos
Productos,La reciben en todos lados en Falabella en todos los negocios que visite
Tiempos de espera,La atencion el tiempo de atencion la ˙ltima vez tardo  20 minutos o 30 minutos de espera
Productos,Mas beneficios en el aeropuerto con viajes y turismo  la black te da beneficios que la que yo tengo no la tiene unos de los beneficios es el vip en el aeropuerto y ese beneficio no tengo con mi tarjeta
Productos,La tarjeta la aceptan en diferentes lugares tienen opciones de descuentos
Canales y servicios,Es practico para utilizar utilizo mucho home banking o la aplicacion en el celular y es  mas facil pagar las cuentas
Disp. automaticos,Es muy practico para usarlos no tengo problemas con el cajero  puedo hacer transferencias ˙ltimos movimientos sin problemas
Canales y servicios,Es practica es muy facil de usar con las operaciones es facil de hacerlas
Calidad de atencion ,Por la buena atencion que  tienen  las personas que trabajan ahu
Productos,Es muy buena la tarjeta los gastos son munimos no tengo problemas para pasar la tarjeta  puedo utilizar en cualquier comercio sin problemas
Disp. automaticos,La practicidad y disponibilidad de dinero
Calidad de atencion ,Por la atencion porque te atienden no tengo problemas no tengo cheques rechazados uno se siente que la estan tratando bien. Muy buena atencion de los empleados
Calidad de atencion ,Es buena atencion de la gente que trabaja en la sucursal donde voy telefonicamente no lo puedo decir porque no lo necesite
Productos,Me dieron buena recomendacion en todas partes lo aceptan comercialmente como es la gol suma puntos para Latam pero no la se usar bien no esta activa v arias veces intente utilizar me dicen que esta bloqueada no me aceptan quise sacar una computadora y no me la aceptan
Tiempos de espera,Que atiendan mas rapido y que no tenga que esperar minutos aproximadamente 50 minutos  para ser atendida
Disp. automaticos,Siempre andan bien los cajeros tienen plata no se traba la tarjeta
Calidad de atencion ,Mejor atencion en la sucursal que sean mas amables
Productos,Esta bien en cuanto a la tarjeta. La calificacion de 7 porque la reciben en todos lados es muy buena
Calidad de atencion ,Ha tenido buena atencion fueron atentos brindaron muy buena atencion
Productos,Fui al exterior no tuve problemas en pagar la diferencia del dolar
Disp. automaticos,Hasta ahora no tuve problemas en los pagos
Procesos,Siempre estan los informes correctos todos lo que debes
Productos,Es segura no tuve problemas de hacer compras o pagar o distintos tipos de operaciones
Canales y servicios,Porque inmediatamente me resolvieron mis problemas y me atendieron con gentileza
Canales y servicios,Es rapida aparece en pantalla no se  cuelga  y soluciona todo
Disp. automaticos,Siempre esta disponible  siempre higienico y ordenado
Canales y servicios,El tiempo de espera debe mejorar
Canales y servicios,No ha tenido problemas con los pagos que realizo desde el home banking
Calidad de atencion ,Por la atencion que tienen las chicas predispuestas nunca atienden de mala gana
Canales y servicios,Porque es muy amigable la pagina facil de trabajar de ver de leer.
Canales y servicios,Porque responde todas las dudas sobre alg˙n resumen o por prestamos
Calidad de atencion ,Hace poco tengo el banco hace 9 meses y nunca tuve problemas
Disp. automaticos,A veces hay esperas largas a veces no dependiendo de la fecha en que vas hasta media hora 40 minutos espere
Canales y servicios,Siempre la consulto no tengo problemas para entrar a la pagina y ver lo que quiero ver
Productos,Hay que considerar los beneficios que tienen el banco como viajo la escala que hay sobre Latam las millas que acreditan
Productos,La utilice en el exterior en el ˙ltimo mes sin problemas las veces que utilizo es sin problema
Disp. automaticos,Tiene bastante cajeros y podes hacer depositos y extraccion no hay fallas esta bueno
Canales y servicios,La pagina es buena explicativa el programa que te guua es  entendible la clave podes sacar te ahorras hacer cola y lo haces por la pagina
Disp. automaticos,Aumentar los cajeros automaticos porque son pocos porque es demasiada la cantidad de clientes para los cajeros que hay.
Canales y servicios,Te solucionen rapido te dejan en espera ese es el problema a veces 5 10 20 minutos osino vuelvo a llamar
Productos,Hay descuentos con la tarjeta visa gold con las tasas de intereses con Latam pass descuentos en ropas o vuveres
Canales y servicios,Mejor la atencion cuando llamas por telefono
Canales y servicios,Se pasan de un lado a otro sin dar respuesta no agrega mas
Disp. automaticos,Que tengan mas autoservicios porque a la sucursal que voy y hay uno que no funciona
Canales y servicios,Que tengan una informacion mas precisa porque a veces pagas el resumen y a ellos no le figura
Calidad de atencion ,Es una cuenta que tengo hace 30 aÒos y cuando la necesito lo tengo siempre que afuera me sirve
Canales y servicios,Porque funciona bien. Cuando llame me contestaron bien
Disp. automaticos,Nunca tuve problemas. Funcionamiento del cajero funciona bien nunca tuve problemas para hacer una transaccion
Tiempos de espera,Porque tarda en dar respuestas lo que le pedimos
Calidad de atencion ,Porque la operatoria que tenemos con ella y el banco es baja por eso el 8 nada
Gestion de consultas,Por la eficiencia que tengo con el y me soluciona los problemas
Gestion de consultas,Porque la verdad que todos los problemas que tuvimos me resuelve o alguna dificultad en la operatoria
Calidad de atencion ,Porque es muy atento muy servicial en todo sentido. Es excelente siempre esta disponible para atenderme.
